"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"KMBG","Mobridge, Mobridge Municipal Airport","SD","ABR","BIS","America/Chicago",45.55,-100.40861
"K2WX","Buffalo","SD","UNR","UDX","America/Denver",45.60444,-103.54639
"KD07","Faith","SD","UNR","UDX","America/Denver",45.03194,-102.01917
"KPHP","Philip, Philip Airport","SD","UNR","UDX","America/Denver",44.05111,-101.60111
"K8D3","Sisseton, Sisseton Municipal Airport","SD","ABR","ABR","America/Chicago",45.66889,-96.99139
"KCUT","Custer, Custer County Airport","SD","UNR","UDX","America/Denver",43.73306,-103.6175
"KSPF","Spearfish / Clyde Ice","SD","UNR","UDX","America/Denver",44.48333,-103.78333
"KMDS","Madison Municipal Airport","SD","FSD","FSD","America/Chicago",44.0164147,-97.0855992
"KBNA","Nashville, Nashville International Airport","TN","OHX","OHX","America/Chicago",36.11889,-86.68917
"KCHA","Chattanooga, Lovell Field","TN","MRX","HTX","America/New_York",35.03333,-85.2
"KCKV","Clarksville Outlaw Field","TN","OHX","HPX","America/Chicago",36.61689,-87.41174
"KCSV","Crossville, Crossville Memorial-Whitson Field Airport","TN","OHX","OHX","America/Chicago",35.95139,-85.085
"KDYR","Dyersburg, Dyersburg Municipal Airport","TN","MEG","NQA","America/Chicago",36,-89.4
"KHZD","Huntingdon Carroll County Airport","TN","MEG","PAH","America/Chicago",36.08896,-88.46538
"KM04","COVINGTON MUNI","TN","MEG","NQA","America/Chicago",35.58,-89.59
"KMEM","Memphis International Airport","TN","MEG","NQA","America/Chicago",35.05644,-89.98634
"KMKL","Jackson, McKellar-Sipes Regional Airport","TN","MEG","NQA","America/Chicago",35.59306,-88.91667
"KMQY","Smyrna, Smyrna Airport","TN","OHX","OHX","America/Chicago",36.00889,-86.52
"KNQA","Millington, Millington Municipal Airport","TN","MEG","NQA","America/Chicago",35.35667,-89.87028
"KOQT","Oak Ridge","TN","MRX","MRX","America/New_York",36.02278,-84.23333
"KPHT","Paris - Henry County Airport","TN","MEG","PAH","America/Chicago",36.34,-88.38
"KSZY","SELMER/ROBERT SIBLEY","TN","MEG","NQA","America/Chicago",35.2,-88.5
"KTRI","Bristol / Johnson / Kingsport, Tri-City Regional Airport","TN","MRX","MRX","America/New_York",36.47972,-82.39889
"KTYS","Knoxville, McGhee Tyson Airport","TN","MRX","MRX","America/New_York",35.81806,-83.98583
"KUCY","Union City - Everett-Stewart Regional Airport","TN","MEG","PAH","America/Chicago",36.38,-88.98
"KSNH","SAVANNAH/HARDIN CO","TN","MEG","GWX","America/Chicago",35.17,-88.22
"KDKX","Knoxville Downtown Airport","TN","MRX","MRX","America/New_York",35.96581,-83.87169
"KMRC","Columbia / Maury County","TN","OHX","OHX","America/Chicago",35.55,-87.18333
